
Epoch 1/20 - Training:
Number of events per file [6080806]
Number of events per file [6080806]
Number of events per file [6080806]
/global/homes/g/gregork/.conda/envs/omni/lib/python3.12/site-packages/torch/autograd/graph.py:865: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [1, 4, 128], strides() = [19712, 128, 1]
bucket_view.sizes() = [1, 4, 128], strides() = [512, 128, 1] (Triggered internally at /pytorch/torch/csrc/distributed/c10d/reducer.cpp:330.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
  [10/6080806] (0.0%) - Loss: 8.8167, LR: 5.00e-05
  [20/6080806] (0.0%) - Loss: 3.4517, LR: 5.00e-05
  [30/6080806] (0.0%) - Loss: 11.5374, LR: 5.00e-05
  [40/6080806] (0.0%) - Loss: 5.8502, LR: 5.00e-05
  [50/6080806] (0.0%) - Loss: 4.2602, LR: 5.00e-05
  [60/6080806] (0.0%) - Loss: 3.5555, LR: 5.00e-05
  [70/6080806] (0.0%) - Loss: 5.0179, LR: 5.00e-05
  [80/6080806] (0.0%) - Loss: 4.7003, LR: 5.00e-05
  [90/6080806] (0.0%) - Loss: 1.7376, LR: 5.00e-05
  [100/6080806] (0.0%) - Loss: 2.2399, LR: 5.00e-05
  [110/6080806] (0.0%) - Loss: 6.7217, LR: 5.00e-05
  [120/6080806] (0.0%) - Loss: 4.6568, LR: 5.00e-05
  [130/6080806] (0.0%) - Loss: 2.9397, LR: 5.00e-05
  [140/6080806] (0.0%) - Loss: 4.7604, LR: 5.00e-05
  [150/6080806] (0.0%) - Loss: 0.9790, LR: 5.00e-05
  [160/6080806] (0.0%) - Loss: 8.4947, LR: 5.00e-05
  [170/6080806] (0.0%) - Loss: 4.8379, LR: 5.00e-05
  [180/6080806] (0.0%) - Loss: 7.1776, LR: 5.00e-05
  [190/6080806] (0.0%) - Loss: 5.8675, LR: 5.00e-05
  [200/6080806] (0.0%) - Loss: 3.2999, LR: 5.00e-05
